team_display,fifa_rank,fifa_points,squad_value_m,squad_strength_score,star_name,star_role,star_available,star_available_status,star_available_source,key_absence_count,doubtful_count,injury_impact_score,star_unavailable_penalty,injury_adjusted_squad_strength_score,injury_adjustment_amount,injury_status_summary,injury_status_source,injury_last_checked,injury_data_quality,audit_status,source_url_1,source_url_2,source_url_3,manual_notes,priority_group,priority_rank
Croatia,11,1717.066402,387.3,0.6225236515049397,Luka Modric,primary_midfield_star_candidate,1,available_monitoring_recent_cheekbone_surgery,Reuters Croatia preview,0.0,0.5,0.15,0.0,0.4725236515049397,-0.15,"Modric is treated as available, but Croatia's preparation includes monitoring after his April cheekbone surgery. Reuters reported he is expected to recover in time.",Reuters Croatia preview / Modric fitness report,2026-06-06 18:09:55,manually_checked_recent_news,injury_checked,https://www.reuters.com/sports/soccer/modric-primed-swansong-croatias-beating-heart-2026-06-02/,https://www.reuters.com/sports/soccer/modric-included-croatias-preliminary-world-cup-squad-after-cheekbone-surgery-2026-05-18/,,"Small penalty only. Modric is expected to recover, so this is monitoring rather than a ruled-out absence.",high_priority,1
Senegal,14,1688.988837,478.1,0.6158420819175922,Sadio Mane,primary_attacking_star,1,named_in_squad_no_current_ruled_out_signal,BBC/Yahoo: Mane named in Senegal World Cup squad,0.0,0.0,0.0,0.0,0.6158420819175922,0.0,Mane has been named in Senegal's World Cup squad; no current ruled-out injury signal used in this pilot update.,BBC/Yahoo squad report,2026-06-06 14:26:50,manually_checked_recent_news_pilot,pilot_checked,,,,,high_priority,1
United States,16,1673.126608,385.65,0.447189650888905,Christian Pulisic,primary_attacking_star,1,named_in_squad_no_current_ruled_out_signal,"Reuters: Pulisic, Adams headline USMNT 26-man World Cup roster",0.0,0.0,0.0,0.0,0.447189650888905,0.0,Pulisic is listed in the United States World Cup squad. No current ruled-out injury signal is applied in this audit step.,Reuters USMNT squad report,2026-06-06 18:27:21,manually_checked_recent_news,injury_checked,https://www.reuters.com/sports/soccer/pulisic-adams-lead-us-26-man-world-cup-squad-2026-05-26/,,,Conservative treatment: named in squad and no current ruled-out signal found in checked source.,medium_priority,2
Colombia,13,1693.089319,302.35,0.4264778348317792,Luis Diaz,primary_attacking_star,1,named_in_squad_no_current_ruled_out_signal,"Reuters: Rodriguez, Diaz headline Colombia World Cup squad",0.0,0.0,0.0,0.0,0.4264778348317792,0.0,Luis Diaz is listed in Colombia's World Cup squad. No current ruled-out injury signal is applied in this audit step.,Reuters Colombia squad report / Reuters Colombia team page,2026-06-06 18:27:21,manually_checked_recent_news,injury_checked,https://www.reuters.com/sports/soccer/rodriguez-diaz-headline-colombia-world-cup-squad-2026-05-25/,https://www.reuters.com/graphics/SOCCER-WORLDCUP/mopaoglqkpa/teams/colombia/,,Conservative treatment: named in squad and no current ruled-out signal found in checked source.,medium_priority,2
Uruguay,17,1673.068603,359.3,0.40525523639423,Federico Valverde,primary_midfield_star,1,named_in_squad_no_current_ruled_out_signal,Reuters Uruguay squad report / Reuters Uruguay team page,0.0,0.0,0.0,0.0,0.40525523639423,0.0,Federico Valverde is listed in Uruguay's World Cup squad. No current ruled-out injury signal is applied in this audit step.,Reuters Uruguay squad report / Reuters Uruguay team page,2026-06-06 18:27:21,manually_checked_recent_news,injury_checked,https://www.reuters.com/sports/soccer/suarez-nandez-miss-out-bielsa-names-uruguays-world-cup-squad-2026-05-31/,https://www.reuters.com/graphics/SOCCER-WORLDCUP/mopaoglqkpa/teams/uruguay/,,Suarez and Nandez omissions are not treated as current injury absences here. Valverde is treated as available.,medium_priority,2
Switzerland,19,1649.39683,332.5,0.2849918066712905,Granit Xhaka,primary_midfield_leader,1,named_in_squad_no_current_ruled_out_signal,Reuters Switzerland squad report / Reuters team page,0.0,0.5,0.1,0.0,0.1849918066712904,-0.1,Xhaka is listed in Switzerland's World Cup squad. Small team-level monitoring penalty is applied because Zeki Amdouni was selected after limited minutes while recovering from a serious knee injury.,Reuters Switzerland squad report; Reuters team page; ESPN squad report on Amdouni recovery,2026-06-06 18:28:39,manually_checked_recent_news,injury_checked,https://www.reuters.com/sports/soccer/switzerland-opt-consistency-world-cup-selection-2026-05-20/,https://www.reuters.com/graphics/SOCCER-WORLDCUP/mopaoglqkpa/teams/switzerland/,https://www.espn.com/soccer/story/_/id/48818354/granit-xhaka-captain-switzerland-world-cup-squad,"Xhaka is treated as available. Small penalty is team-level, linked to Amdouni fitness monitoring.",medium_priority,2
Japan,18,1660.427891,270.85,0.2634696934638943,Takefusa Kubo,primary_attacking_star_candidate,1,named_in_squad_no_current_ruled_out_signal,Reuters Japan team page,0.0,0.0,0.0,0.0,0.2634696934638943,0.0,Kubo is listed in Japan's World Cup squad. No current ruled-out injury signal is applied in this audit step.,Reuters Japan team page / Japan warm-up report,2026-06-06 18:28:39,manually_checked_recent_news,injury_checked,https://www.reuters.com/graphics/SOCCER-WORLDCUP/mopaoglqkpa/teams/japan/,https://www.reuters.com/sports/soccer/japan-defeat-iceland-world-cup-send-off-through-late-ogawa-header-2026-05-31/,,Conservative treatment: named in squad and no current ruled-out signal found in checked source.,medium_priority,2
Türkiye,22,1599.03767,473.7,0.2611577878342951,Arda Guler,primary_attacking_midfield_star,1,named_in_squad_no_current_ruled_out_signal,Reuters Turkey squad report / Reuters Turkey preview,0.0,0.0,0.0,0.0,0.2611577878342951,0.0,Arda Guler is listed as a key player in Turkey's World Cup squad. No current ruled-out injury signal is applied in this audit step.,Reuters Turkey squad report / Reuters Turkey preview,2026-06-06 18:28:39,manually_checked_recent_news,injury_checked,https://www.reuters.com/sports/soccer/montella-sticks-with-experience-turkey-world-cup-squad-2026-06-02/,https://www.reuters.com/sports/soccer/turkeys-new-generation-eyes-world-cup-impact-after-24-year-absence-2026-06-01/,,Conservative treatment: named in squad and no current ruled-out signal found in checked source.,medium_priority,2
Mexico,15,1681.028247,191.85,0.2402564552872156,Santiago Gimenez,primary_attacking_star_candidate,1,named_in_squad_no_current_ruled_out_signal,Reuters Mexico squad report,0.0,0.0,0.0,0.0,0.2402564552872156,0.0,Santiago Gimenez is included in Mexico's World Cup squad. No current ruled-out injury signal is applied in this audit step.,Reuters Mexico squad report / Reuters 26-man squad list,2026-06-06 18:30:06,manually_checked_recent_news,injury_checked,https://www.reuters.com/sports/soccer/ochoa-set-sixth-world-cup-mexico-name-squad-2026-06-01/,https://www.reuters.com/sports/soccer/world-cup-2026-list-26-man-squads-finals-2026-06-02/,,Conservative treatment: named in squad and no current ruled-out signal found in checked Reuters source.,medium_priority,2
Norway,31,1550.943159,589.9,0.1980202426456475,Erling Haaland,primary_attacking_star,1,named_in_squad_no_current_ruled_out_signal,Reuters Norway squad report,1.0,0.0,0.1,0.0,0.0980202426456474,-0.1,Haaland is named in Norway's World Cup squad and is treated as available. A small team-level penalty is applied because Reuters reported Norway's goalkeeper selection was affected by Mathias Dyngeland's injury.,Reuters Norway squad report,2026-06-06 18:30:06,manually_checked_recent_news,injury_checked,https://www.reuters.com/sports/soccer/haaland-odegaard-headline-norway-world-cup-squad-keeper-tangvik-gets-nod-2026-05-21/,https://www.reuters.com/sports/soccer/haaland-ready-carry-norways-world-cup-hopes-after-28-year-wait-2026-06-02/,,Haaland is not penalized. Small team-level penalty reflects goalkeeper injury disruption.,medium_priority,2
Ecuador,23,1594.78386,368.7,0.1281023336896927,Moises Caicedo,primary_midfield_star,1,named_in_squad_eligible_for_opening_match,Reuters Ecuador squad report,0.0,0.0,0.0,0.0,0.1281023336896927,0.0,Moises Caicedo is included in Ecuador's World Cup squad and Reuters reports he is eligible for the opening match after a FIFA suspension rule change. No current injury penalty is applied in this audit step.,Reuters Ecuador squad report / Reuters Ecuador team page,2026-06-06 18:30:06,manually_checked_recent_news,injury_checked,https://www.reuters.com/sports/soccer/defenders-pacho-hincapie-headline-ecuador-world-cup-squad-2026-06-01/,https://www.reuters.com/graphics/SOCCER-WORLDCUP/mopaoglqkpa/teams/ecuador/,,No injury penalty. Suspension eligibility issue is not treated as injury risk.,medium_priority,2
Côte d'Ivoire,34,1532.975251,522.1,0.0574028311867978,Franck Kessie,primary_midfield_star_candidate,1,named_in_squad_no_current_ruled_out_signal,Reuters Ivory Coast preview,0.0,0.0,0.0,0.0,0.0574028311867978,0.0,"Kessie is treated as available. Checked Reuters preview highlights Ivory Coast's attacking depth and midfield leadership, with no current ruled-out injury signal applied here.",Reuters Ivory Coast preview,2026-06-06 18:32:18,manually_checked_recent_news,injury_checked,https://www.reuters.com/sports/soccer/attack-minded-ivorians-bullish-ahead-world-cup-return-2026-06-01/,https://www.reuters.com/sports/soccer/world-cup-2026-list-26-man-squads-finals-2026-06-02/,,Conservative treatment: no confirmed current ruled-out injury signal found in checked source.,medium_priority,2
Austria,24,1593.447673,242.2,-0.0300720578245047,David Alaba,primary_defensive_midfield_star_candidate,1,available_monitoring_minor_muscle_issue,Reuters: Alaba cleared to travel after minor muscle issue,1.0,0.5,0.35,0.0,-0.3800720578245047,-0.35,"Alaba is treated as available but monitored after a minor muscle issue. Austria receive a team-level penalty because Christoph Baumgartner, an important attacking midfielder, has been ruled out of the World Cup with a thigh muscle injury.",Reuters: Baumgartner ruled out; Reuters: Alaba cleared to travel after minor muscle issue,2026-06-06 18:32:18,manually_checked_recent_news,injury_checked,https://www.reuters.com/sports/soccer/austrias-baumgartner-miss-world-cup-due-injury-2026-06-02/,https://www.reuters.com/sports/soccer/austrian-injury-concerns-not-worrying-coach-rangnick-2026-06-02/,,Penalty is mainly for Baumgartner's confirmed absence. Alaba is not treated as ruled out.,medium_priority,2
Algeria,28,1564.2567,256.9,-0.1248738994707912,Riyad Mahrez,primary_attacking_star_candidate,1,named_in_squad_no_current_ruled_out_signal,Reuters Algeria squad report / Reuters Algeria preview,0.0,0.5,0.1,0.0,-0.2248738994707912,-0.1,"Mahrez is treated as available and remains Algeria's creative focal point. A small team-level penalty is applied because Reuters notes goalkeeping uncertainty, including Luca Zidane recovering from jaw and chin injuries.",Reuters Algeria squad report; Reuters Algeria preview,2026-06-06 18:32:18,manually_checked_recent_news,injury_checked,https://www.reuters.com/sports/soccer/bentaleb-back-algeria-world-cup-squad-named-2026-05-31/,https://www.reuters.com/sports/soccer/algeria-hope-turn-talent-into-results-world-cup-return-2026-06-02/,https://www.reuters.com/graphics/SOCCER-WORLDCUP/mopaoglqkpa/teams/algeria/,Mahrez is not penalized. Small team-level penalty reflects goalkeeper injury/uncertainty rather than star absence.,medium_priority,2
Sweden,38,1514.767421,406.08,-0.135973297863334,Alexander Isak,primary_attacking_star,1,available_monitoring_recent_injury_recovery,Reuters Sweden squad report,1.0,0.5,0.35,0.0,-0.485973297863334,-0.35,"Isak is included in Sweden's World Cup squad and is expected to be available, but he has recent injury-recovery background. Sweden also have a confirmed important absence: Dejan Kulusevski missed the squad after failing to recover from a knee injury.",Reuters: Kulusevski misses Sweden squad through injury; Reuters: Isak expected to be fit,2026-06-06 18:33:37,manually_checked_recent_news,injury_checked,https://www.reuters.com/sports/soccer/no-joy-kulusevski-potter-announces-sweden-world-cup-squad-2026-05-12/,https://www.reuters.com/graphics/SOCCER-WORLDCUP/mopaoglqkpa/teams/sweden/,,"Penalty is mostly team-level for Kulusevski's confirmed absence, plus Isak fitness monitoring. Isak is not treated as ruled out.",medium_priority,2
Korea Republic,25,1588.663904,139.05,-0.2078390480382099,Son Heung-min,primary_attacking_star,1,named_in_squad_no_current_ruled_out_signal,Reuters / ESPN South Korea squad report,0.0,0.0,0.0,0.0,-0.2078390480382099,0.0,Son Heung-min is listed as leading Korea Republic's World Cup squad. No current ruled-out injury signal is applied in this audit step.,Reuters South Korea squad report; ESPN South Korea squad report,2026-06-06 18:33:37,manually_checked_recent_news,injury_checked,https://www.reuters.com/sports/soccer/german-born-castrop-makes-south-korea-squad-world-cup-2026-05-16/,https://www.espn.com/soccer/story/_/id/48788433/son-heung-min-south-korea-world-cup-squad-lee-kang-kim-min-jae,,Conservative treatment: Son is named in squad and no current ruled-out injury signal found in checked sources.,medium_priority,2
Canada,30,1556.482247,196.65,-0.2318304010697646,Alphonso Davies,primary_wide_defensive_attacking_star,1,included_but_fitness_monitoring,Sportsnet: Canada roster finalized while managing injuries,0.0,0.5,0.2,0.0,-0.4318304010697646,-0.2,Davies is included but Canada has been managing injury concerns; fitness risk is reflected as doubtful_count rather than ruled out.,Sportsnet / roster injury update,2026-06-06 14:26:50,manually_checked_recent_news_pilot,pilot_checked,,,,,medium_priority,2
IR Iran,21,1615.300338,32.05,-0.2734568665622852,Mehdi Taremi,primary_attacking_star_candidate,1,named_in_squad_no_current_ruled_out_signal,Reuters Iran squad report,0.0,0.0,0.0,0.0,-0.2734568665622852,0.0,"Taremi is listed as leading Iran's World Cup squad. Sardar Azmoun's omission is not treated as an injury absence in this audit step, because the checked Reuters report frames it as a non-injury omission.",Reuters Iran squad report,2026-06-06 18:33:37,manually_checked_recent_news,injury_checked,https://www.reuters.com/sports/soccer/iran-drop-azmoun-taremi-leads-26-man-world-cup-squad-us-2026-06-01/,https://www.reuters.com/graphics/SOCCER-WORLDCUP/mopaoglqkpa/teams/iran/,,No injury penalty. Azmoun omission is not counted as injury-related based on checked source.,medium_priority,2
Australia,27,1580.674774,77.45,-0.3109045131163572,Mathew Ryan,primary_goalkeeper_leader_candidate,1,named_in_squad_no_current_ruled_out_signal,Reuters World Cup squad list / Australia squad context,1.0,0.0,0.25,0.0,-0.5609045131163573,-0.25,Mathew Ryan is listed in Australia's World Cup squad and is treated as available. Australia receive a team-level penalty because playmaker Riley McGree was ruled out of the World Cup with a hamstring injury.,Reuters: McGree ruled out of World Cup with hamstring injury; Reuters World Cup squad list,2026-06-06 18:49:58,manually_checked_recent_news,injury_checked,https://www.reuters.com/sports/soccer/australias-mcgree-ruled-out-world-cup-blow-socceroos-2026-05-26/,https://www.reuters.com/sports/soccer/world-cup-2026-list-26-man-squads-finals-2026-06-02/,,Penalty is team-level for McGree's confirmed absence. Ryan is not treated as injured.,medium_priority,2
Egypt,29,1563.241764,116.48,-0.3349868583177955,Mohamed Salah,primary_attacking_star,1,named_in_squad_monitoring_recent_hamstring_recovery,Reuters Egypt squad report / Reuters Salah injury report,0.0,0.5,0.15,0.0,-0.4849868583177955,-0.15,"Salah is named in Egypt's final World Cup squad. A small monitoring penalty is applied because he had a recent hamstring tear, although Reuters reported he was expected to be fit for the World Cup.",Reuters: Salah heads Egypt squad; Reuters: Salah hamstring tear expected to be fit for World Cup,2026-06-06 18:49:58,manually_checked_recent_news,injury_checked,https://www.reuters.com/sports/soccer/salah-heads-egypt-world-cup-squad-teen-talent-abdel-karim-earns-call-up-2026-05-30/,https://www.reuters.com/sports/soccer/injured-salah-miss-rest-liverpool-season-says-egypt-national-team-director-2026-04-25/,,Salah is not treated as ruled out. Small penalty reflects recent hamstring recovery monitoring.,medium_priority,2
Czechia,41,1501.3824,188.18,-0.4723683112018768,Patrik Schick,primary_attacking_star_candidate,1,named_in_squad_no_current_ruled_out_signal,Reuters Czechia preview,0.0,0.0,0.0,0.0,-0.4723683112018768,0.0,Schick is treated as available and remains Czechia's key attacking threat. No current ruled-out injury signal is applied in this audit step.,Reuters Czechia World Cup preview,2026-06-06 18:49:58,manually_checked_recent_news,injury_checked,https://www.reuters.com/sports/soccer/physical-czechs-will-look-win-ugly-qualify-group-2026-06-01/,https://www.fifa.com/en/articles/czechia-world-cup-squad-announced,,Conservative treatment: no current ruled-out injury signal found in checked sources.,medium_priority,2
Paraguay,40,1503.503339,153.65,-0.503360090392428,Julio Enciso,primary_attacking_star_candidate,1,doubtful_monitoring_recent_warmup_injury,Reuters Paraguay squad report / recent injury reports,0.0,1.0,0.35,0.0,-0.853360090392428,-0.35,Enciso was named in Paraguay's World Cup squad but suffered a late warm-up injury. He is treated as doubtful / fitness monitoring rather than fully ruled out in this audit step.,Reuters Paraguay squad report; New York Post / talkSPORT reports on Enciso warm-up injury,2026-06-06 19:06:09,manually_checked_recent_news,injury_checked,https://www.reuters.com/sports/soccer/alfaro-picks-overseas-based-paraguay-squad-world-cup-2026-06-01/,https://nypost.com/2026/06/06/sports/paraguay-loses-star-player-julio-enciso-one-week-before-world-cup/,https://talksport.com/football/world-cup/4308821/paraguay-julio-enciso-injury-world-cup/,Penalty reflects late injury uncertainty for Paraguay's main attacking candidate. Not marked as star unavailable because final ruled-out status is not confirmed here.,lower_priority,3
Scotland,43,1498.350389,170.25,-0.5056321284825436,Scott McTominay,primary_midfield_attacking_star,1,named_in_squad_no_current_ruled_out_signal,Reuters / ESPN Scotland squad context,1.0,0.0,0.3,0.0,-0.8056321284825436,-0.3,McTominay is treated as available. Scotland receive a team-level penalty because Billy Gilmour has been ruled out of the World Cup with a knee injury.,Reuters: Billy Gilmour ruled out of World Cup with knee injury,2026-06-06 19:06:09,manually_checked_recent_news,injury_checked,https://www.reuters.com/sports/soccer/scotlands-gilmour-ruled-out-world-cup-with-knee-injury-2026-05-30/,https://www.espn.com/soccer/story/_/id/48919840/billy-gilmour-world-cup-injury-scare-worries-scotland-boss-steve-clarke,,Penalty is team-level for Gilmour's confirmed absence. McTominay is not treated as injured.,lower_priority,3
Panama,33,1540.644228,34.55,-0.5524970654672171,Adalberto Carrasquilla,primary_midfield_star_candidate,1,included_but_fitness_monitoring_recent_injury,Reuters Panama squad report / RotoWire injury update,0.0,1.0,0.25,0.0,-0.8024970654672171,-0.25,"Carrasquilla was included in Panama's World Cup squad despite a recent injury. Recent updates indicate he is still recovering and being managed carefully, so this audit applies a moderate monitoring penalty rather than a ruled-out penalty.",Reuters Panama squad report; RotoWire Carrasquilla recovery update,2026-06-06 19:06:09,manually_checked_recent_news,injury_checked,https://www.reuters.com/sports/soccer/panama-name-experienced-squad-second-world-cup-appearance-2026-05-26/,https://www.rotowire.com/soccer/headlines/adalberto-carrasquilla-injury-spotted-in-running-shoes-518733,https://www.reuters.com/graphics/SOCCER-WORLDCUP/mopaoglqkpa/teams/panama/,"Penalty reflects Carrasquilla fitness monitoring. He is included in the squad, so star_available remains 1.",lower_priority,3
Congo DR,46,1478.350424,143.9,-0.6299183012245416,Yoane Wissa,primary_attacking_star_candidate,1,named_in_squad_no_current_ruled_out_signal,Reuters Congo DR team page / Reuters squad change report,1.0,0.0,0.2,0.0,-0.8299183012245417,-0.2,Wissa is treated as available for Congo DR. A team-level penalty is applied because Rocky Bushiri was ruled out of the World Cup squad due to injury.,Reuters Congo DR team page; Reuters: Bushiri ruled out and replaced by Aaron Tshibola,2026-06-06 19:07:25,manually_checked_recent_news,injury_checked,https://www.reuters.com/graphics/SOCCER-WORLDCUP/mopaoglqkpa/teams/congo-dr/,https://www.reuters.com/sports/soccer/dr-congo-make-change-world-cup-squad-bushiri-ruled-out-2026-05-20/,https://www.reuters.com/sports/soccer/wissa-back-dr-congos-world-cup-playoff-2026-03-12/,Wissa is not treated as ruled out. Penalty reflects Bushiri's confirmed injury absence.,lower_priority,3
Tunisia,44,1483.051871,69.95,-0.709823578287904,Ellyes Skhiri,primary_midfield_star_candidate,1,named_in_squad_no_current_ruled_out_signal,Reuters Tunisia preview / Reuters World Cup squad list,0.0,0.0,0.0,0.0,-0.709823578287904,0.0,Skhiri is treated as available. No current ruled-out injury signal is applied in this audit step.,Reuters Tunisia preview / Reuters World Cup squad list,2026-06-06 19:07:25,manually_checked_recent_news,injury_checked,https://www.reuters.com/sports/soccer/tunisia-seek-fresh-spark-lamouchi-reshapes-ageing-squad-2026-06-01/,https://www.reuters.com/sports/soccer/world-cup-2026-list-26-man-squads-finals-2026-06-02/,,Conservative treatment: no confirmed current ruled-out injury signal found in checked Reuters sources.,lower_priority,3
